積載日,トラック名,製品コード,製品名,容器数,合計数量,納期,体積積載率(%),前倒し配送,体積積載率
2025-10-22,夕便,YD40002946,フロア,1,2,2025-10-24,96.9,×,
2025-10-22,夕便,YD40006245,フロア,4,8,2025-10-24,96.9,×,
2025-10-22,夕便,YD40006630,フロア,9,18,2025-10-24,96.9,×,
2025-10-22,夕便,YD40006842,フロア,2,4,2025-10-24,96.9,×,
2025-10-22,朝便,YD40007003,フロア,1,2,2025-10-24,24.2,×,
2025-10-22,朝便,YD40007372,フロア,1,2,2025-10-24,24.2,×,
2025-10-22,朝便,YD40007722,フロア,1,1,2025-10-24,24.2,×,
,,,,,,,,,
,,,,,,,,,
2025-10-24,夕便,YD40002946,フロア,1,2,2025-10-27,96.9,×,
2025-10-24,夕便,YD40006237,フロア,1,2,2025-10-27,96.9,×,
2025-10-24,夕便,YD40006245,フロア,9,18,2025-10-27,96.9,×,
2025-10-24,夕便,YD40006842,フロア,1,2,2025-10-27,96.9,×,
2025-10-24,夕便,YD40007003,フロア,2,4,2025-10-27,96.9,×,
2025-10-24,夕便,YD40007243,フロア,1,2,2025-10-27,96.9,×,
2025-10-24,夕便,YD40002946,フロア,1,2,2025-10-28,96.9,×,
2025-10-24,朝便,YD40006630,フロア,9,18,2025-10-27,84.8,×,
2025-10-24,朝便,YD40006618,フロア,1,2,2025-10-28,84.8,×,
2025-10-24,朝便,YD40006842,フロア,2,4,2025-10-28,84.8,×,
2025-10-24,朝便,YD40007003,フロア,1,2,2025-10-28,84.8,×,
2025-10-24,朝便,YD40007243,フロア,1,2,2025-10-28,84.8,×,
,,,,,,,,,
2025-10-27,夕便,YD40002946,フロア,1,2,2025-10-29,96.9,×,
2025-10-27,夕便,YD40006245,フロア,11,22,2025-10-29,96.9,×,
2025-10-27,夕便,YD40006842,フロア,1,2,2025-10-29,96.9,×,
2025-10-27,夕便,YD40007003,フロア,2,4,2025-10-29,96.9,×,
2025-10-27,朝便,YD40006630,フロア,9,18,2025-10-29,72.7,×,
2025-10-27,朝便,YD40007372,フロア,2,4,2025-10-29,72.7,×,
,,,,,,,,,
2025-10-28,夕便,YD40002946,フロア,1,2,2025-10-30,96.9,×,
2025-10-28,夕便,YD40006245,フロア,10,20,2025-10-30,96.9,×,
2025-10-28,夕便,YD40006842,フロア,2,4,2025-10-30,96.9,×,
2025-10-28,夕便,YD40007003,フロア,3,6,2025-10-30,96.9,×,
2025-10-28,朝便,YD40006630,フロア,6,12,2025-10-30,48.5,×,
2025-10-28,朝便,YD40007688,フロア,1,1,2025-10-30,48.5,×,
,,,,,,,,,
2025-10-29,夕便,YD40002946,フロア,1,2,2025-10-31,96.9,×,
2025-10-29,夕便,YD40006237,フロア,1,2,2025-10-31,96.9,×,
2025-10-29,夕便,YD40006245,フロア,11,22,2025-10-31,96.9,×,
2025-10-29,夕便,YD40006618,フロア,1,2,2025-10-31,96.9,×,
2025-10-29,夕便,YD40006842,フロア,1,2,2025-10-31,96.9,×,
2025-10-29,夕便,YD40007003,フロア,1,2,2025-10-31,96.9,×,
2025-10-29,朝便,YD40006630,フロア,6,12,2025-10-31,60.6,×,
2025-10-29,朝便,YD40007243,フロア,1,2,2025-10-31,60.6,×,
2025-10-29,朝便,YD40007372,フロア,1,2,2025-10-31,60.6,×,
2025-10-29,朝便,YD40007688,フロア,1,1,2025-10-31,60.6,×,
