積載日,トラック名,製品コード,容器数,合計数量,納期,表示用積載日(シフト後)
2025-10-20,NO_3_10T,V053143521,10,80,2025-10-21,2025-10-19
2025-10-20,NO_3_10T,V053143615,14,81,2025-10-21,2025-10-19
2025-10-20,NO_3_10T,V065104642,7,56,2025-10-21,2025-10-19
2025-10-20,NO_3_10T,V053104642,6,48,2025-10-21,2025-10-19
2025-10-20,NO_5_10T,V053104642,3,24,2025-10-21,2025-10-19
2025-10-20,NO_2_10T,V065104703,12,36,2025-10-21,2025-10-20
2025-10-20,NO_4_10T,V053904703,17,51,2025-10-21,2025-10-20
2025-10-21,NO_3_10T,V053143521,8,64,2025-10-22,2025-10-20
2025-10-21,NO_3_10T,V053143615,11,63,2025-10-22,2025-10-20
2025-10-21,NO_3_10T,V065104642,7,56,2025-10-22,2025-10-20
2025-10-21,NO_3_10T,V053104642,10,80,2025-10-22,2025-10-20
2025-10-21,NO_5_10T,V065104703,5,15,2025-10-22,2025-10-20
2025-10-21,NO_2_10T,V065104703,14,42,2025-10-22,2025-10-21
2025-10-22,NO_3_10T,V053143521,9,72,2025-10-23,2025-10-21
2025-10-22,NO_3_10T,V053143615,13,78,2025-10-23,2025-10-21
2025-10-22,NO_3_10T,V065104642,6,48,2025-10-23,2025-10-21
2025-10-22,NO_3_10T,V065104642,1,8,2025-10-23,2025-10-21
2025-10-22,NO_3_10T,V053104642,6,48,2025-10-23,2025-10-21
2025-10-22,NO_5_10T,V065104703,6,18,2025-10-23,2025-10-21
2025-10-22,NO_5_10T,V053104642,2,16,2025-10-23,2025-10-21
2025-10-22,NO_2_10T,V065104703,14,42,2025-10-23,2025-10-22
2025-10-23,NO_3_10T,V053143521,9,72,2025-10-24,2025-10-22
2025-10-23,NO_3_10T,V053143615,11,66,2025-10-24,2025-10-22
2025-10-23,NO_3_10T,V065104642,6,48,2025-10-24,2025-10-22
2025-10-23,NO_3_10T,V065104642,2,16,2025-10-24,2025-10-22
2025-10-23,NO_3_10T,V053104642,8,64,2025-10-24,2025-10-22
2025-10-23,NO_5_10T,V053104642,1,8,2025-10-24,2025-10-22
2025-10-23,NO_2_10T,V065104703,16,48,2025-10-24,2025-10-23
2025-10-24,NO_3_10T,V053143521,8,64,2025-10-27,2025-10-23
2025-10-24,NO_3_10T,V053143615,12,69,2025-10-27,2025-10-23
2025-10-24,NO_3_10T,V065104642,6,48,2025-10-27,2025-10-23
2025-10-24,NO_3_10T,V053104642,7,56,2025-10-27,2025-10-23
2025-10-24,NO_5_10T,V065104703,4,12,2025-10-27,2025-10-23
2025-10-24,NO_2_10T,V065104703,18,54,2025-10-27,2025-10-24
2025-10-27,NO_3_10T,V053143521,7,56,2025-10-28,2025-10-26
2025-10-27,NO_3_10T,V053143615,10,57,2025-10-28,2025-10-26
2025-10-27,NO_3_10T,V065104642,6,48,2025-10-28,2025-10-26
2025-10-27,NO_3_10T,V053104642,9,72,2025-10-28,2025-10-26
2025-10-27,NO_2_10T,V065104703,17,51,2025-10-28,2025-10-27
2025-10-27,NO_4_10T,V053904703,20,60,2025-10-28,2025-10-27
2025-10-28,NO_3_10T,V053143521,9,72,2025-10-29,2025-10-27
2025-10-28,NO_3_10T,V053143615,12,72,2025-10-29,2025-10-27
2025-10-28,NO_3_10T,V065104642,6,48,2025-10-29,2025-10-27
2025-10-28,NO_3_10T,V053104642,7,56,2025-10-29,2025-10-27
2025-10-28,NO_5_10T,V065104703,1,3,2025-10-29,2025-10-27
2025-10-28,NO_2_10T,V065104703,16,48,2025-10-29,2025-10-28
2025-10-29,NO_3_10T,V053143521,8,64,2025-10-30,2025-10-28
2025-10-29,NO_3_10T,V053143615,10,60,2025-10-30,2025-10-28
2025-10-29,NO_3_10T,V065104642,6,48,2025-10-30,2025-10-28
2025-10-29,NO_3_10T,V053104642,9,72,2025-10-30,2025-10-28
2025-10-29,NO_2_10T,V065104703,14,42,2025-10-30,2025-10-29
2025-10-29,NO_4_10T,V053904703,18,54,2025-10-30,2025-10-29
2025-10-30,NO_3_10T,V053143521,8,64,2025-10-31,2025-10-29
2025-10-30,NO_3_10T,V053143615,12,69,2025-10-31,2025-10-29
2025-10-30,NO_3_10T,V065104642,6,48,2025-10-31,2025-10-29
2025-10-30,NO_3_10T,V053104642,7,56,2025-10-31,2025-10-29
